"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 21:03:13 IST 2022","Wed Sep 07 21:04:51 IST 2022","97753","webkit","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Wed Sep 07 21:03:13 IST 2022","Wed Sep 07 21:04:11 IST 2022","58123","chromium","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Wed Sep 07 21:03:13 IST 2022","Wed Sep 07 21:04:41 IST 2022","88181","firefox","example.spec.js","","","","homepage has Playwright in title and get started link linking to the intro page",""
